Team,5_Raw,4_Raw,3_Raw,5_Exp,4_Exp,3_Exp,5_Prob,4_Prob,3_Prob
Virginia,0,7,76,0.16853819207552512,6.741321894307971,70.16603416603088,0.0015053975521899037,0.005217349065107613,0.012127107680319738
West Virginia,0,8,70,0.16578939685317984,6.154557636969899,70.08266549784996,0.0014808450780697613,0.004763231312319958,0.012112698702696711
California,0,5,74,0.1630406016308914,5.567793379633758,69.9992968296687,0.001456292603950127,0.0043091135595337985,0.012098289725073624
Maryland,0,8,65,0.16029180640840401,4.981029122293414,69.91592816148686,0.0014317401298287154,0.003854995806744385,0.01208388074745044
Duke,0,6,68,0.157543011186144,4.645306216846444,69.8325594933056,0.0014071876557093348,0.003595167895493342,0.012069471769827353
Iowa State,1,2,73,0.15479421596374188,4.555616414491394,69.74919082512399,0.001382635181588685,0.003525753763694961,0.012055062792204209
Northwestern,0,6,61,0.15204542074148186,4.465926612137025,69.66582215694272,0.0013580827074693043,0.003456339631897107,0.012040653814581121
Pittsburgh,0,5,67,0.14929662551905132,4.376236809781631,69.58245348876169,0.0013335302333484006,0.003386925500098459,0.012026244836958074
Georgia Tech,0,5,67,0.1465478302966492,4.286547007423512,69.49908482058031,0.0013089777592277506,0.0033175113682977026,0.01201183585933497
Boise State,0,4,71,0.14379903507424707,4.196857205069029,69.41571615239916,0.0012844252851071005,0.0032480972364997605,0.011997426881711902
Syracuse,0,3,72,0.14105023985193021,4.107167402712614,69.33234748421744,0.0012598728109872123,0.0031786831047003225,0.011983017904088738
Arizona,1,5,64,0.13830144462947125,4.017477600354495,69.24897881603663,0.0012353203368660546,0.0031092689728995666,0.01196860892646573
Illinois,0,4,75,0.13555264940712597,3.9277877979998985,69.16561014785468,0.0012107678627459124,0.003039854841101536,0.011954199948842526
Vanderbilt,0,5,72,0.1328038541847807,3.8380979956439383,69.08224147967353,0.0011862153886257702,0.00297044070930245,0.01193979097121946
Louisville,0,4,68,0.13005505896249225,3.748408193289115,68.21013570137363,0.0011616629145061357,0.002901026577504244,0.011789061051711024
Rutgers,0,1,77,0.1273062637400333,3.6587183909303134,67.33751013987016,0.001137110440384978,0.0028316124457029596,0.011638241295760285
Wake Forest,0,5,64,0.12455746851774485,3.569028588576968,66.46488457836703,0.0011125579662653437,0.0027621983139058974,0.011487421539809604
Washington State,0,3,64,0.12180867329534273,3.4793387862196417,65.59225901686357,0.0010880054921446937,0.0026927841821057547,0.011336601783858865
Central Florida,0,3,69,0.11905987807308271,3.389648983863909,64.71963345536066,0.001063453018025313,0.002623370050306845,0.011185782027908223
Boston College,0,2,61,0.11631108285068059,3.299959181506585,63.84700789385708,0.0010389005439046632,0.002553955918506704,0.011034962271957464
Texas Tech,0,6,57,0.11356228762830689,3.2102693791530124,62.974382332353954,0.0010143480697842671,0.002484541786709466,0.010884142516006784
Kansas State,0,2,73,0.1108134924058195,3.120579576795233,62.10163965521967,0.0009897955956628555,0.0024151276549089725,0.010733302518440811
Oregon State,0,2,70,0.10806469718347422,3.030889774440638,61.228729785130255,0.0009652431215427134,0.002345713523110943,0.010582433624172976
Kansas,0,3,68,0.10531590196115737,2.9411999720817192,60.35581991504118,0.0009406906474228251,0.002276299391309568,0.0104315647299052
Memphis,0,5,51,0.10256710673881209,2.851510169728604,59.482910044952106,0.0009161381733026829,0.002206885259512684,0.010280695835637422
Cincinnati,1,1,66,0.09981831151660892,2.7618203673720743,58.61000017486303,0.00089158569918381,0.0021374711277131575,0.010129826941369645
Florida Atlantic,0,3,59,0.0970695162940931,2.67213056501509,57.737090304774526,0.0008670332250621446,0.002068056995913279,0.009978958047101968
Toledo,0,4,55,0.09432072107163414,2.5824407626569714,56.86418043468534,0.000842480750940987,0.001998642864112523,0.00982808915283417
South Florida,0,0,62,0.09157192584931728,2.4927509602988493,55.99127056459592,0.0008179282768210986,0.001929228732311764,0.009677220258566335
SMU,0,4,47,0.08882313062714253,2.4030611579470964,55.11836069450696,0.0007933758027024796,0.0018598146005159345,0.009526351364298578
Houston,0,4,51,0.08607433540465514,2.313371355590795,54.24545082441777,0.000768823328581068,0.0017904004687165848,0.009375482470030781
BYU,0,3,48,0.08332554018236671,2.223681553233125,53.37254095432904,0.0007442708544614336,0.0017209863369161758,0.009224613575763064
Marshall,0,2,50,0.08057674496002143,2.133991750874098,52.499631084239965,0.0007197183803412914,0.0016515722051147167,0.009073744681495287
East Carolina,0,1,53,0.0778279497376193,2.044301948524165,51.626721214151004,0.0006951659062206415,0.0015821580733202955,0.00892287578722753
Florida International,0,3,43,0.07507915451527403,1.9546121461646786,50.75381134406159,0.0006706134321004993,0.0015127439415184808,0.008772006892959695
Colorado State,0,1,45,0.07233035929290033,1.8649223438106546,49.880901473972855,0.0006460609579801032,0.0014433298097208936,0.008621137998691977
Southern Miss,0,1,56,0.06958156407044136,1.775232541453442,49.007991603883895,0.0006215084838589455,0.0013739156779208387,0.00847026910442422
Louisiana Tech,0,1,43,0.0668327688481245,1.6855427390982758,48.13508173379425,0.0005969560097390573,0.0013045015461223674,0.008319400210156345
UL-Lafayette,0,3,45,0.06408397362560869,1.5958529367408367,47.26217186370529,0.0005724035356173919,0.0012350874143221373,0.008168531315888588
Troy,0,1,48,0.061335178403291835,1.5061631343840842,46.38926199361633,0.0005478510614975035,0.0011656732825224383,0.00801766242162083
Western Michigan,0,2,43,0.058586383181088664,1.4164733320257357,45.51635212352748,0.0005232985873786306,0.001096259150721504,0.007866793527353094
North Texas,0,1,43,0.055837587958743384,1.3267835296726176,44.64344225343818,0.0004987461132584884,0.0010268450189246181,0.007715924633085278
San Diego State,0,1,40,0.05308879273628442,1.2370937273176796,43.77053238334911,0.00047419363913733077,0.0009574308871263236,0.0075650557388175005
Middle Tennessee,0,1,38,0.05033999751379703,1.147403924960015,42.897622513259236,0.00044964116501591925,0.0008880167553259187,0.007414186844549586
UTSA,0,1,37,0.04759120229159386,1.0577141226078046,42.0247126431713,0.0004250886908970464,0.0008186026235297352,0.007263317950282006
Tulane,0,0,46,0.044842407069163315,0.968024320247185,41.151802773082,0.00040053621677614256,0.0007491884917270433,0.0071124490560141905
Western Kentucky,0,0,42,0.0420936118469033,0.8783345178927018,40.27889290299258,0.00037598374265676197,0.0006797743599291008,0.006961580161746354
UAB,0,0,42,0.039344816624302226,0.8628467887790618,39.405983032903734,0.000351431268534335,0.0006677878548669531,0.006810711267478617
Nevada,0,0,43,0.03659602140204221,0.8475442035303544,38.53307316281409,0.0003268787944149544,0.0006559446392346473,0.006659842373210742
Fresno State,0,2,36,0.03384722617983904,0.8322416182807393,37.6601632927257,0.0003023263202960815,0.0006441014236016391,0.0065089734789430835
Temple,0,0,33,0.031098430957408496,0.8169390330263511,36.78725342263674,0.0002777738461751777,0.0006322582079649367,0.006358104584675326
Arkansas State,0,2,39,0.028349635734864265,0.80163644777946,35.91434355254755,0.00025322137205325846,0.0006204149923340367,0.00620723569040753
Miami-OH,0,0,35,0.025600840512490564,0.7863338625300749,35.04143368245836,0.0002286688979328624,0.0006085717767012065,0.006056366796139734
Utah State,0,0,36,0.022852045290287393,0.7710312772765935,34.168523812368946,0.00020411642381398953,0.0005967285610652059,0.005905497901871898
Tulsa,0,1,31,0.020103250067856848,0.7557286920269775,33.29561394227976,0.00017956394969308574,0.000584885345432197,0.005754629007604102
Ohio,0,2,30,0.017354454845483147,0.7404261067778153,32.42270407219125,0.00015501147557268966,0.0005730421297995393,0.005603760113336424
Appalachian State,0,0,35,0.01460565962316629,0.7288937052218323,31.54979420210206,0.00013045900145280135,0.0005641167935791525,0.005452891219068627
